Image,Name,Price,Rating
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/u/n/9/-original-imagx8sgttszhsgz.jpeg?q=70,"SAMSUNG 6.5 kg 5 star, Air Turbo Drying Semi Automatic Top Load Washing Machine Blue, Grey","₹10,090",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/k/r/d/-original-imagxbywsnhyfgyy.jpeg?q=70,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,"₹10,990",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/l/j/x/-original-imagt9egzzxtq8gy.jpeg?q=70,"Thomson 9 kg 5 Star Aqua Magic Double Waterfall Semi Automatic Top Load Washing Machine Black, Grey","₹9,690",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/v/j/8/-original-imagwcnagybujaea.jpeg?q=70,"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey","₹10,140",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/s/m/v/-original-imags7trhxa6twwf.jpeg?q=70,realme TechLife 8 kg 5 Star Rating Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹14,990",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/z/b/q/-original-imagxbywcadw6gpa.jpeg?q=70,"Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black, Grey","₹7,790",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/x/o/w/-original-imagt4z99dgzhggc.jpeg?q=70,"Voltas Beko by A Tata Product 9 kg washing machine with Soft Closing door, Water proof IPX4 protection...","₹12,690",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/m/1/g/-original-imagx7qhej8qthtp.jpeg?q=70,"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion Direct Drive, Touch Panel and 12...","₹26,990",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/l/j/x/-original-imagt9egzzxtq8gy.jpeg?q=70,"Thomson 9 kg 5 Star Aqua Magic Double Waterfall Semi Automatic Top Load Washing Machine Black, Grey","₹9,690",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/z/q/6/-original-imagkd23qgdp8ghn.jpeg?q=70,"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense 4 years Comprehensive Warranty Fully Automa...","₹17,490",4.3
https://rukminim2.flixcart.com/image/312/312/knxiavk0/washing-machine-new/l/x/x/9-jsd90s-2022l-sansui-original-imag2g34xpsd5urp.jpeg?q=70,"Sansui 9 kg Semi Automatic Top Load Washing Machine White, Maroon","₹10,390",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/o/b/o/-original-imagxxymh95awv2b.jpeg?q=70,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon","₹6,990",
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/p/m/s/-original-imagvfgjgqv2gcjv.jpeg?q=70,"Voltas Beko by A Tata Product 7 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator Semi Automatic Top...","₹8,990",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/k/v/e/-original-imaguv5qgtkqy7ze.jpeg?q=70,MOTOROLA 8 kg 5 star rating Semi Automatic Top Load Washing Machine Black,"₹9,790",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/z/1/l/-original-imagxrjrgzjf9phs.jpeg?q=70,Whirlpool 9 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Washing Machine Grey,"₹14,240",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/i/p/z/-original-imagt985rkse6hhv.jpeg?q=70,Voltas Beko by A Tata Product 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Whi...,"₹25,990",3.9
